ID	Gene Name	Species	BBID	BIOCARTA	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
LIMA1	LIM domain and actin binding 1(LIMA1)	Homo sapiens		h_s1pPathway:SREBP control of lipid synthesis,	GO:0008203~cholesterol metabolic process,GO:0016477~cell migration,GO:0030299~intestinal cholesterol absorption,GO:0030835~negative regulation of actin filament depolymerization,GO:0031529~ruffle organization,GO:0042632~cholesterol homeostasis,GO:0051017~actin filament bundle assembly,	GO:0001725~stress fiber,GO:0001726~ruffle,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005925~focal adhesion,GO:0015629~actin cytoskeleton,GO:0031526~brush border membrane,GO:0032154~cleavage furrow,	GO:0003785~actin monomer binding,GO:0005515~protein binding,GO:0045296~cadherin binding,GO:0046872~metal ion binding,GO:0051015~actin filament binding,	IPR001781:Zinc finger, LIM-type,		618079~Low density lipoprotein cholesterol level QTL 8,		SM00132:LIM,	KW-0153~Cholesterol metabolism,KW-0443~Lipid metabolism,KW-0753~Steroid metabolism,KW-1207~Sterol metabolism,	KW-0206~Cytoskeleton,KW-0472~Membrane,KW-0963~Cytoplasm,KW-0965~Cell junction,KW-1003~Cell membrane,		KW-0440~LIM domain,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0009~Actin-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:LIM zinc-binding,MOTIF:Required for interaction with NPC1L1,REGION:Disordered,REGION:Required for interaction with MYO5B,
LIMD2	LIM domain containing 2(LIMD2)	Homo sapiens			GO:0051017~actin filament bundle assembly,	GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0015629~actin cytoskeleton,	GO:0005515~protein binding,GO:0046872~metal ion binding,GO:0051015~actin filament binding,	IPR001781:Zinc finger, LIM-type,				SM00132:LIM,		KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0440~LIM domain,	KW-0479~Metal-binding,KW-0862~Zinc,		KW-0007~Acetylation,	DOMAIN:LIM zinc-binding,REGION:Disordered,
LPP	LIM domain containing preferred translocation partner in lipoma(LPP)	Homo sapiens			GO:0098609~cell-cell adhesion,	GO:0001725~stress fiber,GO:0005634~nucleus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005925~focal adhesion,	GO:0005515~protein binding,GO:0046872~metal ion binding,	IPR001781:Zinc finger, LIM-type,		601626~Leukemia, acute myeloid,Lipoma~Lipoma,		SM00132:LIM,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-0965~Cell junction,KW-1003~Cell membrane,		KW-0440~LIM domain,KW-0677~Repeat,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0010~Activator,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Polar residues,COMPBIAS:Pro residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1),DOMAIN:LIM zinc-binding,DOMAIN:LIM zinc-binding 1,DOMAIN:LIM zinc-binding 2,DOMAIN:LIM zinc-binding 3,MUTAGEN:L->A: Abolishes binding to SCRIB.,MUTAGEN:T->A: Abolishes binding to SCRIB.,REGION:Disordered,SITE:Breakpoint for translocation to form HMGA2-LPP,SITE:Breakpoint for translocation to form HMGA2-LPP and KMT2A/MLL1-LPP,
LIMK1	LIM domain kinase 1(LIMK1)	Homo sapiens		h_ccr3Pathway:CCR3 signaling in Eosinophils,h_malPathway:Role of MAL in Rho-Mediated Activation of SRF,h_rac1Pathway:Rac 1 cell motility signaling pathway,h_rhoPathway:Rho cell motility signaling pathway,	GO:0006468~protein phosphorylation,GO:0007165~signal transduction,GO:0007266~Rho protein signal transduction,GO:0007399~nervous system development,GO:0030036~actin cytoskeleton organization,GO:0032233~positive regulation of actin filament bundle assembly,GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0043149~stress fiber assembly,GO:0045773~positive regulation of axon extension,GO:0048675~axon extension,GO:0051444~negative regulation of ubiquitin-protein transferase activity,GO:0051496~positive regulation of stress fiber assembly,	GO:0001673~male germ cell nucleus,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005925~focal adhesion,GO:0016020~membrane,GO:0016607~nuclear speck,GO:0030027~lamellipodium,GO:0043005~neuron projection,GO:0043229~intracellular organelle,	GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0004712~protein serine/threonine/tyrosine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0031072~heat shock protein binding,GO:0046872~metal ion binding,	IPR000719:Protein kinase, catalytic domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR001478:PDZ domain,IPR001781:Zinc finger, LIM-type,IPR011009:Protein kinase-like domain,IPR017441:Protein kinase, ATP binding site,	hsa04360:Axon guidance,hsa04666:Fc gamma R-mediated phagocytosis,hsa04810:Regulation of actin cytoskeleton,hsa05135:Yersinia infection,hsa05170:Human immunodeficiency virus 1 infection,			SM00132:LIM,SM00228:PDZ,		KW-0206~Cytoskeleton,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-0966~Cell projection,	KW-0856~Williams-Beuren syndrome,	KW-0440~LIM domain,KW-0677~Repeat,	KW-0067~ATP-binding,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,KW-0862~Zinc,	KW-0418~Kinase,KW-0723~Serine/threonine-protein kinase,KW-0808~Transferase,	KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,	COMPBIAS:Polar residues,DOMAIN:LIM zinc-binding,DOMAIN:LIM zinc-binding 1,DOMAIN:LIM zinc-binding 2,DOMAIN:PDZ,DOMAIN:Protein kinase,MUTAGEN:C->S: Enhances actin aggregation.,MUTAGEN:D->N,A: Abrogates kinase activity.,MUTAGEN:GL->EA: Enhances actin aggregation.,MUTAGEN:Missing: Reduces actin aggregation.,MUTAGEN:RKK->GAA: Abolishes kinase activity.,MUTAGEN:T->A: Abolishes activation by ROCK1.,MUTAGEN:T->E: Phosphomimetic mutant; enhances kinase activity.,MUTAGEN:T->EE: Enhances kinase activity.,MUTAGEN:T->V: Reduces kinase activity.,REGION:Disordered,
LMO2	LIM domain only 2(LMO2)	Homo sapiens			GO:0007275~multicellular organism development,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0097067~cellular response to thyroid hormone stimulus,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,	GO:0001221~transcription cofactor binding,GO:0003713~transcription coactivator activity,GO:0005515~protein binding,GO:0042802~identical protein binding,GO:0043425~bHLH transcription factor binding,GO:0046872~metal ion binding,GO:0061629~RNA polymerase II sequence-specific DNA binding transcription factor binding,	IPR001781:Zinc finger, LIM-type,	hsa05202:Transcriptional misregulation in cancer,	Leukemia, acute T-cell~Leukemia, acute T-cell,		SM00132:LIM,		KW-0539~Nucleus,	KW-0656~Proto-oncogene,	KW-0440~LIM domain,KW-0677~Repeat,	KW-0479~Metal-binding,KW-0862~Zinc,			DOMAIN:LIM zinc-binding 1,DOMAIN:LIM zinc-binding 2,
LMO4	LIM domain only 4(LMO4)	Homo sapiens			GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001843~neural tube closure,GO:0003281~ventricular septum development,GO:0008045~motor neuron axon guidance,GO:0021514~ventral spinal cord interneuron differentiation,GO:0021520~spinal cord motor neuron cell fate specification,GO:0021522~spinal cord motor neuron differentiation,GO:0021527~spinal cord association neuron differentiation,GO:0030334~regulation of cell migration,GO:0031333~negative regulation of protein complex assembly,GO:0033674~positive regulation of kinase activity,GO:0042659~regulation of cell fate specification,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048538~thymus development,GO:0050865~regulation of cell activation,	GO:0005667~transcription factor complex,GO:0031252~cell leading edge,GO:0090575~RNA polymerase II transcription factor complex,	GO:0003714~transcription corepressor activity,GO:0005515~protein binding,GO:0046872~metal ion binding,	IPR001781:Zinc finger, LIM-type,				SM00132:LIM,	KW-0804~Transcription,KW-0805~Transcription regulation,			KW-0440~LIM domain,KW-0677~Repeat,	KW-0479~Metal-binding,KW-0862~Zinc,			DOMAIN:LIM zinc-binding,DOMAIN:LIM zinc-binding 1,DOMAIN:LIM zinc-binding 2,
LHX1	LIM homeobox 1(LHX1)	Homo sapiens			GO:0001655~urogenital system development,GO:0001657~ureteric bud development,GO:0001658~branching involved in ureteric bud morphogenesis,GO:0001702~gastrulation with mouth forming second,GO:0001705~ectoderm formation,GO:0001706~endoderm formation,GO:0001822~kidney development,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0007267~cell-cell signaling,GO:0007389~pattern specification process,GO:0007399~nervous system development,GO:0008045~motor neuron axon guidance,GO:0009653~anatomical structure morphogenesis,GO:0009791~post-embryonic development,GO:0009880~embryonic pattern specification,GO:0009887~animal organ morphogenesis,GO:0009948~anterior/posterior axis specification,GO:0009952~anterior/posterior pattern specification,GO:0009953~dorsal/ventral pattern formation,GO:0010468~regulation of gene expression,GO:0010842~retina layer formation,GO:0021517~ventral spinal cord development,GO:0021527~spinal cord association neuron differentiation,GO:0021537~telencephalon development,GO:0021549~cerebellum development,GO:0021702~cerebellar Purkinje cell differentiation,GO:0021871~forebrain regionalization,GO:0021937~cerebellar Purkinje cell-granule cell precursor cell signaling involved in regulation of granule cell precursor cell proliferation,GO:0030182~neuron differentiation,GO:0032525~somite rostral/caudal axis specification,GO:0035502~metanephric part of ureteric bud development,GO:0035846~oviduct epithelium development,GO:0035847~uterine epithelium development,GO:0035849~nephric duct elongation,GO:0035852~horizontal cell localization,GO:0040019~positive regulation of embryonic development,GO:0044344~cellular response to fibroblast growth factor stimulus,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0048382~mesendoderm development,GO:0048646~anatomical structure formation involved in morphogenesis,GO:0048703~embryonic viscerocranium morphogenesis,GO:0048793~pronephros development,GO:0060059~embryonic retina morphogenesis in camera-type eye,GO:0060065~uterus development,GO:0060066~oviduct development,GO:0060067~cervix development,GO:0060068~vagina development,GO:0060322~head development,GO:0060429~epithelium development,GO:0061205~paramesonephric duct development,GO:0072049~comma-shaped body morphogenesis,GO:0072050~S-shaped body morphogenesis,GO:0072077~renal vesicle morphogenesis,GO:0072177~mesonephric duct development,GO:0072178~nephric duct morphogenesis,GO:0072197~ureter morphogenesis,GO:0072224~metanephric glomerulus development,GO:0072278~metanephric comma-shaped body morphogenesis,GO:0072283~metanephric renal vesicle morphogenesis,GO:0072284~metanephric S-shaped body morphogenesis,GO:0090009~primitive streak formation,GO:0090190~positive regulation of branching involved in ureteric bud morphogenesis,GO:0097379~dorsal spinal cord interneuron posterior axon guidance,GO:0097477~lateral motor column neuron migration,GO:2000543~positive regulation of gastrulation,GO:2000744~positive regulation of anterior head development,GO:2000768~positive regulation of nephron tubule epithelial cell differentiation,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005667~transcription factor complex,GO:0032991~macromolecular complex,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0000987~core promoter proximal region sequence-specific DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,GO:1990837~sequence-specific double-stranded DNA binding,	IPR001356:Homeodomain,IPR001781:Zinc finger, LIM-type,IPR009057:Homeodomain-like,IPR017970:Homeobox, conserved site,				SM00132:LIM,SM00389:HOX,	KW-0221~Differentiation,KW-0524~Neurogenesis,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,		KW-0371~Homeobox,KW-0440~LIM domain,KW-0677~Repeat,	KW-0479~Metal-binding,KW-0862~Zinc,	KW-0217~Developmental protein,KW-0238~DNA-binding,KW-9996~Developmental protein,	KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DNA_BIND:Homeobox,DOMAIN:Homeobox,DOMAIN:LIM zinc-binding,DOMAIN:LIM zinc-binding 1,DOMAIN:LIM zinc-binding 2,REGION:Disordered,
LLGL1	LLGL scribble cell polarity complex component 1(LLGL1)	Homo sapiens			GO:0006887~exocytosis,GO:0006893~Golgi to plasma membrane transport,GO:0007409~axonogenesis,GO:0008593~regulation of Notch signaling pathway,GO:0030866~cortical actin cytoskeleton organization,GO:0032878~regulation of establishment or maintenance of cell polarity,GO:0045197~establishment or maintenance of epithelial cell apical/basal polarity,GO:0050708~regulation of protein secretion,GO:0051294~establishment of spindle orientation,GO:0065003~macromolecular complex assembly,	GO:0000137~Golgi cis cisterna,GO:0000139~Golgi membrane,GO:0005737~cytoplasm,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0005912~adherens junction,GO:0030424~axon,GO:0030864~cortical actin cytoskeleton,GO:0031901~early endosome membrane,GO:0032588~trans-Golgi network membrane,	GO:0005096~GTPase activator activity,GO:0005198~structural molecule activity,GO:0005515~protein binding,GO:0019901~protein kinase binding,GO:0045159~myosin II binding,	IPR000664:Lethal(2) giant larvae protein,IPR001680:WD40 repeat,IPR013577:Lethal giant larvae homologue 2,IPR015943:WD40/YVTN repeat-like-containing domain,IPR019775:WD40 repeat, conserved site,	hsa04390:Hippo signaling pathway,hsa04530:Tight junction,hsa05165:Human papillomavirus infection,			SM00320:WD40,	KW-0268~Exocytosis,	KW-0206~Cytoskeleton,KW-0333~Golgi apparatus,KW-0472~Membrane,KW-0963~Cytoplasm,KW-0966~Cell projection,KW-0967~Endosome,		KW-0677~Repeat,KW-0853~WD repeat,			KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Lethal giant larvae homologue 2,REGION:Disordered,REPEAT:WD,REPEAT:WD 1,REPEAT:WD 10,REPEAT:WD 11,REPEAT:WD 12,REPEAT:WD 13,REPEAT:WD 14,REPEAT:WD 2,REPEAT:WD 3,REPEAT:WD 4,REPEAT:WD 5,REPEAT:WD 6,REPEAT:WD 7,REPEAT:WD 8,REPEAT:WD 9,
LRRFIP1	LRR binding FLII interacting protein 1(LRRFIP1)	Homo sapiens			GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003725~double-stranded RNA binding,GO:0005515~protein binding,GO:0042803~protein homodimerization activity,GO:0045296~cadherin binding,	IPR019139:Leucine-rich repeat flightless-interacting protein,					KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,		KW-0175~Coiled coil,		KW-0238~DNA-binding,KW-0678~Repressor,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Acidic residues,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1),CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),REGION:DNA-binding,REGION:Disordered,
LUC7L3	LUC7 like 3 pre-mRNA splicing factor(LUC7L3)	Homo sapiens			GO:0006376~mRNA splice site selection,GO:0008380~RNA splicing,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005685~U1 snRNP,GO:0016607~nuclear speck,GO:0071004~U2-type prespliceosome,	GO:0003677~DNA binding,GO:0003723~RNA binding,GO:0003729~mRNA binding,GO:0005515~protein binding,	IPR004882:LUC7-related,					KW-0507~mRNA processing,KW-0508~mRNA splicing,	KW-0539~Nucleus,		KW-0175~Coiled coil,		KW-0238~DNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Basic residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1); alternate,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate,REGION:Disordered,
LYPD5	LY6/PLAUR domain containing 5(LYPD5)	Homo sapiens				GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0031225~anchored component of membrane,GO:0098552~side of membrane,	GO:0005515~protein binding,	IPR016054:Ly-6 antigen / uPA receptor -like,IPR018363:CD59 antigen, conserved site,						KW-0472~Membrane,KW-1003~Cell membrane,		KW-0732~Signal,			KW-0325~Glycoprotein,KW-0336~GPI-anchor,KW-0449~Lipoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:UPAR/Ly6,LIPID:GPI-anchor amidated alanine,PROPEP:Removed in mature form,
LYN	LYN proto-oncogene, Src family tyrosine kinase(LYN)	Homo sapiens	74.CD47-IAP_with_avB3,	h_bcrPathway:BCR Signaling Pathway,h_ephA4Pathway:Eph Kinases and ephrins support platelet aggregation,h_fcer1Pathway:Fc Epsilon Receptor I Signaling in Mast Cells,h_ptdinsPathway:Phosphoinositides and their downstream targets.,	GO:0001782~B cell homeostasis,GO:0001817~regulation of cytokine production,GO:0001932~regulation of protein phosphorylation,GO:0001933~negative regulation of protein phosphorylation,GO:0001934~positive regulation of protein phosphorylation,GO:0002223~stimulatory C-type lectin receptor signaling pathway,GO:0002244~hematopoietic progenitor cell differentiation,GO:0002250~adaptive immune response,GO:0002431~Fc receptor mediated stimulatory signaling pathway,GO:0002513~tolerance induction to self antigen,GO:0002553~histamine secretion by mast cell,GO:0002576~platelet degranulation,GO:0002762~negative regulation of myeloid leukocyte differentiation,GO:0002768~immune response-regulating cell surface receptor signaling pathway,GO:0002774~Fc receptor mediated inhibitory signaling pathway,GO:0002862~negative regulation of inflammatory response to antigenic stimulus,GO:0002902~regulation of B cell apoptotic process,GO:0006468~protein phosphorylation,GO:0006974~cellular response to DNA damage stimulus,GO:0006991~response to sterol depletion,GO:0007165~signal transduction,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0009410~response to xenobiotic stimulus,GO:0009636~response to toxic substance,GO:0009725~response to hormone,GO:0009743~response to carbohydrate,GO:0010976~positive regulation of neuron projection development,GO:0014003~oligodendrocyte development,GO:0014070~response to organic cyclic compound,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0030154~cell differentiation,GO:0030218~erythrocyte differentiation,GO:0030222~eosinophil differentiation,GO:0030335~positive regulation of cell migration,GO:0030889~negative regulation of B cell proliferation,GO:0031175~neuron projection development,GO:0031295~T cell costimulation,GO:0031663~lipopolysaccharide-mediated signaling pathway,GO:0031668~cellular response to extracellular stimulus,GO:0032868~response to insulin,GO:0033003~regulation of mast cell activation,GO:0033628~regulation of cell adhesion mediated by integrin,GO:0034136~negative regulation of toll-like receptor 2 signaling pathway,GO:0034142~toll-like receptor 4 signaling pathway,GO:0034144~negative regulation of toll-like receptor 4 signaling pathway,GO:0034605~cellular response to heat,GO:0035556~intracellular signal transduction,GO:0038043~interleukin-5-mediated signaling pathway,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0038159~C-X-C chemokine receptor CXCR4 signaling pathway,GO:0042531~positive regulation of tyrosine phosphorylation of STAT protein,GO:0043200~response to amino acid,GO:0043304~regulation of mast cell degranulation,GO:0043407~negative regulation of MAP kinase activity,GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity,GO:0045087~innate immune response,GO:0045646~regulation of erythrocyte differentiation,GO:0046777~protein autophosphorylation,GO:0048013~ephrin receptor signaling pathway,GO:0048678~response to axon injury,GO:0050777~negative regulation of immune response,GO:0050853~B cell receptor signaling pathway,GO:0050855~regulation of B cell receptor signaling pathway,GO:0050900~leukocyte migration,GO:0051272~positive regulation of cellular component movement,GO:0051279~regulation of release of sequestered calcium ion into cytosol,GO:0060252~positive regulation of glial cell proliferation,GO:0060369~positive regulation of Fc receptor mediated stimulatory signaling pathway,GO:0060397~JAK-STAT cascade involved in growth hormone signaling pathway,GO:0070304~positive regulation of stress-activated protein kinase signaling cascade,GO:0070372~regulation of ERK1 and ERK2 cascade,GO:0070373~negative regulation of ERK1 and ERK2 cascade,GO:0070447~positive regulation of oligodendrocyte progenitor proliferation,GO:0070667~negative regulation of mast cell proliferation,GO:0070668~positive regulation of mast cell proliferation,GO:0071300~cellular response to retinoic acid,GO:0090025~regulation of monocyte chemotaxis,GO:0090330~regulation of platelet aggregation,GO:0097028~dendritic cell differentiation,GO:1902532~negative regulation of intracellular signal transduction,GO:1902961~positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process,GO:2000670~positive regulation of dendritic cell apoptotic process,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005758~mitochondrial intermembrane space,GO:0005765~lysosomal membrane,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005912~adherens junction,GO:0009898~cytoplasmic side of plasma membrane,GO:0009986~cell surface,GO:0014069~postsynaptic density,GO:0030061~mitochondrial crista,GO:0030666~endocytic vesicle membrane,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,GO:0034666~integrin alpha2-beta1 complex,GO:0043231~intracellular membrane-bounded organelle,GO:0045121~membrane raft,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,GO:0098978~glutamatergic synapse,GO:0099091~postsynaptic specialization, intracellular component,	GO:0004712~protein serine/threonine/tyrosine kinase activity,GO:0004713~protein tyrosine kinase activity,GO:0004715~non-membrane spanning protein tyrosine kinase activity,GO:0005102~receptor binding,GO:0005161~platelet-derived growth factor receptor binding,GO:0005178~integrin binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016301~kinase activity,GO:0017124~SH3 domain binding,GO:0019899~enzyme binding,GO:0031625~ubiquitin protein ligase binding,GO:0043015~gamma-tubulin binding,GO:0043208~glycosphingolipid binding,GO:0044325~ion channel binding,GO:0046875~ephrin receptor binding,GO:0051219~phosphoprotein binding,GO:0097110~scaffold protein binding,	IPR000719:Protein kinase, catalytic domain,IPR000980:SH2 domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR001452:Src homology-3 domain,IPR008266:Tyrosine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR017441:Protein kinase, ATP binding site,IPR020635:Tyrosine-protein kinase, catalytic domain,	hsa04062:Chemokine signaling pathway,hsa04064:NF-kappa B signaling pathway,hsa04611:Platelet activation,hsa04662:B cell receptor signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa04666:Fc gamma R-mediated phagocytosis,hsa04730:Long-term depression,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05167:Kaposi sarcoma-associated herpesvirus infection,hsa05169:Epstein-Barr virus infection,hsa05203:Viral carcinogenesis,hsa05417:Lipid and atherosclerosis,	620376~Autoinflammatory disease, systemic, with vasculitis,		SM00219:TyrKc,SM00252:SH2,SM00326:SH3,	KW-0391~Immunity,KW-0395~Inflammatory response,KW-0399~Innate immunity,KW-0945~Host-virus interaction,KW-1064~Adaptive immunity,	KW-0333~Golgi apparatus,KW-0472~Membrane,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-1003~Cell membrane,	KW-0656~Proto-oncogene,	KW-0727~SH2 domain,KW-0728~SH3 domain,	KW-0067~ATP-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0808~Transferase,KW-0829~Tyrosine-protein kinase,	KW-0449~Lipoprotein,KW-0519~Myristate,KW-0564~Palmitate,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,	ACT_SITE:Proton acceptor,COMPBIAS:Polar residues,DOMAIN:Protein kinase,DOMAIN:SH2,DOMAIN:SH3,LIPID:N-myristoyl glycine,LIPID:S-palmitoyl cysteine,MUTAGEN:C->A: Loss of localization to the cell membrane; when associated with A-2.,MUTAGEN:D->A: Impedes the trafficking from the Golgi apparatus toward the cell membrane; when associated with A-346; A-353 and A-498.,MUTAGEN:D->A: Impedes the trafficking from the Golgi apparatus toward the cell membrane; when associated with A-346; A-353 and A-499.,MUTAGEN:D->A: Impedes the trafficking from the Golgi apparatus toward the cell membrane; when associated with A-353; A-498 and A-499.,MUTAGEN:E->A: Impedes the trafficking from the Golgi apparatus toward the cell membrane; when associated with A-346; A-498 and A-499.,MUTAGEN:G->A: Loss of localization to the cell membrane; when associated with A-3.,MUTAGEN:K->A: Loss of activity and no effect on localization to the cell membrane. Abundant localization in the nucleus; when associated with A-2 and A-3.,MUTAGEN:K->L,R: Loss of kinase activity.,MUTAGEN:Y->F: Abolishes autoinhibition and thereby increases kinase activity.,MUTAGEN:Y->F: Strongly reduced kinase activity.,REGION:Disordered,
