gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO,cluster
HOXB2,cg22777724,0.410837,TSS200,cg26841048,0.223601,TSS200,1
HOXD10,cg10364040,0.489329,TSS1500,cg07625529,0.296421,TSS1500,1
HOXD12,cg01405040,0.466748,TSS1500,cg06571387,0.268056,TSS1500,1
HOXD4,cg12215739,0.411766,TSS1500,cg12127282,0.362143,TSS1500,1
HOXD8,cg09238180,0.431142,TSS1500,cg09238180,0.271703,TSS1500,1
HRH1,cg16929739,-0.402712,TSS200,cg06457736,-0.215708,TSS200,3
IFFO1,cg00983904,0.400209,TSS200,cg22203219,0.303531,TSS200,2
IMMP2L,cg21342392,-0.410556,TSS1500,cg21342392,-0.249667,TSS1500,2
KCNK2,cg05129325,0.404434,TSS1500,cg11200222,0.282721,TSS1500,3
KRTAP20-1,cg25388528,-0.325581,TSS1500,cg25388528,-0.238448,TSS1500,2
LIMD2,cg07836815,0.356788,TSS1500,cg07836815,0.221505,TSS1500,2
LMX1A,cg23971170,0.398316,TSS1500,cg23971170,0.270518,TSS1500,1
LUC7L3,cg04604142,-0.390806,TSS1500,cg04604142,-0.247865,TSS1500,2
MAGI2,cg01158680,0.348029,TSS1500,cg13382769,0.243461,TSS1500,2
MAL2,cg02749784,-0.355433,TSS1500,cg02749784,-0.289017,TSS1500,2
MARCH11,cg16150752,0.397691,TSS200,cg17712694,0.298938,TSS200,2
MEGF11,cg13702629,0.304009,TSS1500,cg13702629,0.265214,TSS1500,2
MEOX2,cg03985727,0.383201,TSS1500,cg03985727,0.223051,TSS1500,1
MIR10B,cg19519747,0.355299,TSS1500,cg23460578,0.225628,TSS1500,4
MIR1197,cg25562958,-0.345824,TSS1500,cg25562958,-0.222919,TSS1500,4
MIR124-2,cg07792478,0.449014,TSS1500,cg27313642,0.217229,TSS200,4
MIR129-2,cg14416371,0.340691,TSS200,cg16407471,0.260306,TSS200,4
MIR196A1,cg01452847,0.448673,TSS1500,cg01452847,0.247287,TSS1500,4
MIR196A2,cg10662314,0.310266,TSS1500,cg10662314,0.23045,TSS1500,4
MIR21,cg04276626,-0.409995,TSS200,cg04276626,-0.258191,TSS200,4
MIR495,cg27074221,-0.316314,TSS200,cg27074221,-0.245967,TSS200,4
MIR654,cg19757573,-0.349539,TSS1500,cg01200264,-0.227893,TSS1500,4
MKX,cg07964848,0.405584,TSS1500,cg07964848,0.351718,TSS1500,1
MNDA,cg25119415,-0.326821,TSS1500,cg25119415,-0.225091,TSS1500,2
MSX1,cg15092343,0.437689,TSS1500,cg15092343,0.254249,TSS1500,1
NEFM,cg23290344,0.444381,TSS1500,cg23290344,0.271353,TSS1500,2
NID2,cg22881914,0.462725,TSS1500,cg22881914,0.267736,TSS1500,2
NIPSNAP1,cg00939432,-0.335592,TSS1500,cg00939432,-0.231178,TSS1500,2
NKX2-4,cg18736063,0.357665,TSS1500,cg18736063,0.261721,TSS1500,1
NKX2-6,cg03694713,0.38428,TSS1500,cg17875555,0.293444,TSS1500,1
NPTX2,cg08315202,0.340073,TSS1500,cg13314145,0.241473,TSS1500,2
NSUN4,cg12646227,-0.34279,TSS1500,cg12646227,-0.226124,TSS1500,2
PCK1,cg13655303,-0.298685,TSS1500,cg18305394,-0.260852,TSS1500,2
PDE4B,cg22488256,0.29469,TSS200,cg10552807,0.234342,TSS1500,2
PIGB,cg19991916,-0.38753,TSS1500,cg19991916,-0.213506,TSS1500,2
PODN,cg04765848,0.332619,TSS1500,cg07803474,0.25112,TSS200,2
POU3F3,cg19513834,0.295745,TSS1500,cg25549459,0.245452,TSS1500,1
PRLHR,cg20624923,0.360652,TSS1500,cg19403534,0.247295,TSS1500,3
PTF1A,cg06550984,0.293889,TSS1500,cg06550984,0.222554,TSS1500,1
RUSC1,cg19516515,0.295021,TSS200,cg19516515,0.346105,TSS200,2
SAR1A,cg07661904,-0.352401,TSS1500,cg07661904,-0.224213,TSS1500,2
SCT,cg25774643,0.560193,TSS200,cg25774643,0.394943,TSS200,2
SFRS13A,cg26856289,-0.306641,TSS1500,cg26856289,-0.241424,TSS1500,2
SNORD93,cg22407942,-0.385322,TSS1500,cg04907244,-0.218784,TSS1500,2
SUB1,cg18721397,-0.349445,TSS1500,cg18721397,-0.232588,TSS1500,2
SYTL1,cg04608356,-0.300936,TSS200,cg06745704,-0.253442,TSS200,2
TAC1,cg17437939,0.468589,TSS200,cg17437939,0.345872,TSS200,2
TMEM196,cg04111071,0.333303,TSS1500,cg06896909,0.270633,TSS1500,2
TRIM59,cg15618978,0.323545,TSS1500,cg07572451,0.262306,TSS1500,2
TUBB6,cg03507241,0.37417,TSS1500,cg16546503,0.332301,TSS1500,2
WDR8,cg04021697,0.475392,TSS1500,cg04021697,0.218466,TSS1500,2
WNT3,cg24114556,0.383545,TSS1500,cg00817598,0.273046,TSS1500,2
ZC3H12D,cg17501395,-0.300057,TSS200,cg17501395,-0.223537,TSS200,2
ZFP42,cg00663077,0.320994,TSS1500,cg06274159,0.277253,TSS200,1
ZNF781,cg14587524,0.392051,TSS200,cg17445666,0.250109,TSS200,2
ZSCAN18,cg14231297,0.380015,TSS200,cg17408527,0.234321,TSS200,1
