gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO,cluster
KRTAP24-1,cg09892262,-0.421757,TSS1500,cg09892262,-0.37309,TSS1500,2
KY,cg22889573,0.490432,TSS200,cg22889573,0.361549,TSS200,2
MEST,cg20380768,-0.392886,TSS1500,cg22115706,-0.377019,TSS1500,4
MIR124-3,cg02650317,0.563885,TSS1500,cg08737296,0.351847,TSS1500,1
MMP26,cg12493906,-0.422763,TSS200,cg12493906,-0.381798,TSS200,2
NALCN,cg04117435,0.515954,TSS1500,cg23056157,0.433171,TSS200,3
NDRG4,cg04190807,0.444053,TSS1500,cg04942472,0.353909,TSS1500,4
NPR3,cg07663789,0.444524,TSS1500,cg06028303,0.384698,TSS200,4
OR10J5,cg26043322,-0.419167,TSS1500,cg26043322,-0.371084,TSS1500,4
OR10S1,cg00621646,-0.390867,TSS1500,cg05024715,-0.357956,TSS1500,4
PCDH10,cg04035209,0.461573,TSS1500,cg01408654,0.40722,TSS200,4
PIGB,cg19991916,-0.501713,TSS1500,cg19991916,-0.432843,TSS1500,2
PODN,cg04765848,0.424938,TSS1500,cg04765848,0.360026,TSS1500,2
RASGRF1,cg11806630,0.453385,TSS1500,cg25673084,0.354732,TSS1500,4
RIMS4,cg21656205,0.459892,TSS1500,cg27361134,0.366215,TSS1500,4
SALL1,cg00177451,0.51288,TSS1500,cg14115575,0.417576,TSS1500,1
SCN7A,cg05331214,-0.439333,TSS1500,cg06746492,-0.369593,TSS1500,3
SHISA2,cg16572375,0.427693,TSS1500,cg16572375,0.364231,TSS1500,4
SIRPG,cg23295754,-0.444737,TSS1500,cg13408605,-0.352674,TSS1500,4
SLC18A3,cg23987444,0.505533,TSS1500,cg08996579,0.397917,TSS1500,3
SLC4A11,cg21304453,0.39881,TSS1500,cg23413506,0.405481,TSS1500,3
SLC6A15,cg18023283,0.618118,TSS1500,cg03064067,0.455136,TSS1500,3
SLC6A2,cg01277542,0.449299,TSS1500,cg10362591,0.433823,TSS1500,3
SLITRK5,cg25081106,0.534956,TSS1500,cg15778745,0.49554,TSS1500,4
SORCS1,cg24403845,0.576736,TSS200,cg26554592,0.433425,TSS200,4
SOX21,cg27442308,0.52009,TSS1500,cg02736420,0.386964,TSS200,1
ST6GALNAC5,cg13823136,0.537089,TSS200,cg15100100,0.37657,TSS200,2
SUB1,cg18721397,-0.423025,TSS1500,cg12600337,-0.364771,TSS1500,1
THBS4,cg10784386,0.41182,TSS200,cg10784386,0.355406,TSS200,4
TMEM196,cg18505401,0.475934,TSS200,cg18505401,0.365099,TSS200,2
TRDN,cg14462830,-0.408807,TSS1500,cg14462830,-0.387719,TSS1500,4
TRPC6,cg23650423,0.473307,TSS200,cg27296293,0.39044,TSS200,3
TWIST1,cg00240432,0.559137,TSS200,cg04917226,0.395716,TSS1500,1
UNC5C,cg12584684,0.617455,TSS1500,cg20377606,0.454193,TSS200,4
UNC5D,cg08000065,0.414853,TSS200,cg13561879,0.378525,TSS1500,4
VSTM2B,cg18802754,0.423689,TSS1500,cg18802754,0.409652,TSS1500,2
WDR8,cg04021697,0.407756,TSS1500,cg04021697,0.439231,TSS1500,4
ZNF132,cg24366702,0.48585,TSS200,cg13877915,0.431532,TSS200,1
ZNF135,cg08701621,0.509002,TSS200,cg08701621,0.477655,TSS200,1
ZNF334,cg27385032,0.517221,TSS200,cg07139762,0.39206,TSS200,1
ZNF793,cg14732998,0.480303,TSS200,cg17332326,0.372846,TSS1500,1
