ID,gene,dbeta,feature,cluster
cg17446896,HIST1H4L,0.325234,TSS1500,3
cg09473613,HMGCL,-0.32142,TSS1500,3
cg09614300,HMX3,0.353748,TSS1500,1
cg09420439,HOXA1,0.373272,TSS1500,1
cg14625175,HOXA10,0.393172,TSS200,1
cg11015251,HOXA4,0.382842,TSS200,1
cg10364040,HOXD10,0.377144,TSS1500,1
cg02694427,HOXD12,0.361917,TSS200,1
cg09238180,HOXD8,0.409872,TSS1500,1
cg00888758,HRNR,-0.339456,TSS200,3
cg22325530,HVCN1,0.337809,TSS1500,3
cg23165899,ID4,0.393702,TSS1500,3
cg06559575,IGFBP6,0.329741,TSS1500,2
cg02309273,INPP5B,0.380101,TSS200,2
cg02101773,INSM1,0.354288,TSS1500,1
cg21410991,ISL1,0.341448,TSS1500,3
cg10119075,ITIH5,0.494876,TSS1500,3
cg24161793,ITPRIPL1,0.40333,TSS1500,3
cg22165175,KCNA2,0.389037,TSS1500,3
cg05756220,KCNA4,0.361168,TSS200,3
cg24926465,KCNAB1,-0.390168,TSS1500,3
cg04574090,KCNE3,0.435998,TSS200,3
cg13606025,KCNJ16,-0.32541,TSS1500,3
cg19042062,KCNJ2,0.360034,TSS1500,3
cg23621729,KIAA1751,0.33098,TSS200,3
cg24838349,KIR2DL4,-0.325254,TSS200,2
cg24119869,KIR3DX1,-0.364388,TSS200,3
cg07429623,KLHDC8A,0.34068,TSS200,3
cg11934419,LAMA4,0.390958,TSS200,3
cg00298977,LELP1,-0.36849,TSS200,3
cg00840332,LEP,0.41654,TSS200,3
cg24755177,LILRA4,-0.355372,TSS1500,2
cg04918402,LIMD2,0.357345,TSS1500,3
cg06148118,LMO2,0.351925,TSS1500,3
cg02970525,LMOD1,0.37155,TSS1500,3
cg11366178,LNX1,-0.381344,TSS200,3
cg23676439,LRAT,0.345127,TSS1500,3
cg09242181,LRP4,0.401304,TSS1500,3
cg14254720,LRRC8C,0.325051,TSS1500,3
cg26683398,LTC4S,0.42304,TSS1500,3
cg26530485,LUZP1,0.413693,TSS1500,3
cg12768605,LYPD5,0.330718,TSS200,3
cg13777292,MADCAM1,0.320714,TSS200,3
cg24021956,MAGI2,0.398485,TSS1500,3
cg15252509,MALT1,-0.330716,TSS1500,3
cg22377043,MAP1A,0.323223,TSS1500,3
cg12456714,MARCH11,0.348936,TSS1500,3
cg19720265,MARK1,0.320491,TSS1500,3
cg25562958,MIR1197,-0.333331,TSS1500,3
cg07792478,MIR124-2,0.423513,TSS1500,3
cg20277905,MIR124-3,0.328882,TSS200,3
cg14416371,MIR129-2,0.438146,TSS200,3
cg01452847,MIR196A1,0.370597,TSS1500,3
cg20395967,MIR663,0.482025,TSS1500,3
cg26371731,MIR9-1,0.327083,TSS200,3
cg24428232,MIR921,-0.36279,TSS1500,2
cg02940362,MMP26,-0.331109,TSS1500,3
cg16659728,MRGPRD,-0.347615,TSS200,2
cg26985798,MS4A15,-0.360694,TSS200,2
cg21367256,MYT1,-0.431134,TSS200,1
cg15797286,NAT1,-0.322448,TSS1500,3
cg17081914,NCKAP5,-0.371401,TSS1500,3
cg18081258,NDRG2,0.423298,TSS1500,3
cg18651870,NETO1,0.410676,TSS200,2
cg22881914,NID2,0.454706,TSS1500,3
cg10603004,NKX2-6,0.379686,TSS1500,1
cg05158615,NPY,0.42422,TSS1500,3
cg25262528,NT5E,0.396298,TSS1500,3
cg04315771,NUP62,0.335541,TSS1500,3
cg13877670,ONECUT1,0.329185,TSS1500,1
cg18710784,OPCML,0.404201,TSS1500,3
cg16013670,OPN3,-0.390845,TSS1500,2
cg07037019,OR10J5,-0.368976,TSS1500,2
cg11195360,OR8B8,-0.342491,TSS1500,2
cg26541780,PAQR6,0.321372,TSS200,3
cg00970325,PAQR9,0.349924,TSS1500,3
cg15133719,PAX3,0.400704,TSS200,1
cg23655970,PAX9,0.342986,TSS200,1
cg16294013,PDE4B,0.376191,TSS200,3
cg12727795,PDGFRB,0.339021,TSS1500,3
cg18877506,PDPN,0.401642,TSS1500,3
cg04658021,PER1,0.361601,TSS1500,3
cg06847624,PFN3,0.404873,TSS200,3
cg24334029,PHACTR3,-0.363647,TSS200,3
cg05093169,PHOX2A,0.373386,TSS200,1
cg06222062,PLA2G5,0.337471,TSS200,3
cg12727940,PLSCR4,0.347521,TSS1500,3
cg24182521,PLTP,0.395237,TSS1500,3
cg04765848,PODN,0.460746,TSS1500,3
cg00778995,POU3F3,0.327425,TSS1500,1
cg02571816,PPP1R14A,0.354645,TSS1500,2
cg10305789,PPP1R16B,0.37379,TSS200,2
cg05740243,PRAP1,0.329117,TSS200,3
cg13267264,PRDM14,0.367092,TSS200,3
cg13652336,PREX2,0.327368,TSS1500,2
cg20624923,PRLHR,0.403245,TSS1500,2
cg06550984,PTF1A,0.384519,TSS1500,1
cg03970036,PTPRN,0.439727,TSS200,3
cg21678312,PTPRR,0.323559,TSS200,2
cg11413039,PUS3,0.330057,TSS1500,3
cg12615761,RAB12,0.34721,TSS1500,3
cg26029902,RAB22A,0.352398,TSS1500,3
cg04842146,RALYL,0.348648,TSS200,3
cg13096701,RAPGEF2,0.330262,TSS1500,3
cg27494647,RARRES2,0.404058,TSS200,3
cg06829830,RASGRF2,0.322913,TSS1500,2
cg04540383,RASSF1,0.414221,TSS1500,2
cg19614321,RASSF2,0.33799,TSS1500,3
cg08949974,RBM47,-0.347774,TSS1500,3
cg03852656,RFC4,-0.332875,TSS1500,3
cg17264670,RGS17,0.421022,TSS1500,2
cg24848035,RGS22,0.430895,TSS200,2
cg27527922,RPL22,0.354605,TSS1500,3
cg04549460,RSPO2,0.360767,TSS200,3
cg15242225,RUNX1,-0.365105,TSS1500,1
cg19516515,RUSC1,0.428235,TSS200,3
cg07790615,RYR2,0.477887,TSS1500,3
cg01146232,SALL1,0.42296,TSS1500,1
cg02363969,SBK2,-0.330406,TSS1500,2
cg25774643,SCT,0.351334,TSS200,3
cg15617545,SERPING1,0.39457,TSS1500,3
cg05164933,SFRP2,0.405443,TSS200,3
cg22831607,SFRP5,0.355811,TSS200,3
cg00460049,SGIP1,0.395417,TSS1500,3
cg14866200,SHISA3,0.355686,TSS200,3
cg27252696,SIM1,0.513484,TSS1500,1
cg13545212,SLC13A5,0.332752,TSS1500,3
cg27610561,SLC2A10,-0.333687,TSS1500,3
cg11207307,SLC2A14,0.326689,TSS200,3
cg14777768,SLC2A2,0.513241,TSS1500,3
cg21304453,SLC4A11,0.334005,TSS1500,3
cg09321400,SLC6A2,0.346113,TSS200,3
cg16703956,SLC6A3,0.407788,TSS1500,3
cg18989709,SLITRK3,0.344843,TSS1500,3
cg20776829,SNCA,0.331532,TSS1500,3
cg06308109,SNORD32B,-0.331681,TSS1500,3
cg07739205,SNTG1,0.3252,TSS1500,3
cg21971621,SNX32,0.355851,TSS1500,3
cg06363129,SOSTDC1,0.337078,TSS200,3
cg24604013,SOX1,0.449493,TSS1500,1
cg16428251,SOX14,0.370781,TSS200,1
cg05520409,SOX8,0.344819,TSS1500,1
cg12377139,SPAG6,0.383468,TSS200,3
cg06092815,SPHKAP,0.329103,TSS200,2
cg02909446,SPOCK2,-0.369228,TSS1500,3
cg07676859,SSTR4,0.389412,TSS200,2
cg04778012,STAG3,0.377181,TSS200,3
cg20388732,STAT5A,0.376483,TSS200,1
cg15873301,SYN2,0.365652,TSS1500,2
cg19901801,SYT6,0.353743,TSS1500,3
cg11861562,TAGLN,0.325628,TSS1500,3
cg09439920,TBC1D23,0.410864,TSS1500,3
cg17985646,TBX20,0.3518,TSS200,1
cg03396557,TBX21,0.334599,TSS200,1
cg25984671,TCF15,0.350559,TSS200,1
cg07445246,TCL1A,0.391056,TSS200,3
cg02643667,TFF1,-0.339366,TSS200,3
cg03100639,TGFB1I1,0.363085,TSS1500,3
cg05306745,TIMP2,0.370824,TSS1500,3
cg26517714,TLX3,0.380935,TSS200,1
cg13495118,TM4SF18,0.3214,TSS200,3
cg20624941,TMEM132B,-0.378311,TSS200,3
cg04111071,TMEM196,0.444058,TSS1500,3
cg22783363,TNFRSF10D,0.327156,TSS200,2
cg19593767,TOX2,0.344093,TSS200,3
cg15618978,TRIM59,0.338358,TSS1500,3
cg27504802,TRIM67,0.341603,TSS200,3
cg16832407,TRPM3,0.323056,TSS200,3
cg03507241,TUBB6,0.34336,TSS1500,3
cg07783282,USP44,0.403212,TSS1500,3
cg08833577,VAX1,0.420715,TSS1500,1
cg08614290,VIPR2,0.329108,TSS1500,2
cg01893212,VWC2,0.396519,TSS200,3
cg03044249,WBSCR17,0.409103,TSS1500,3
cg04021697,WDR8,0.365985,TSS1500,3
cg04683149,WISP1,0.349584,TSS200,3
cg01830294,WNT2,0.327525,TSS200,3
cg09388605,XKR4,0.381023,TSS1500,3
cg15718581,ZFP42,0.378633,TSS1500,1
cg07878486,ZNF132,0.33876,TSS1500,1
cg09578475,ZNF177,0.528785,TSS200,1
cg19254119,ZNF560,0.380795,TSS200,1
cg21298174,ZNF709,0.338642,TSS200,1
cg03109316,ZNF80,-0.32045,TSS1500,1
cg18005867,ZNF876P,0.33364,TSS200,1
cg07660236,ZSCAN12,0.397427,TSS1500,1
cg18693673,ZSCAN18,0.417534,TSS200,1
