ID,gene_x,J,J cut-point,J sensitivity,J specificity,J F1,CZ,CZ cut-point,CZ sensitivity,CZ specificity,CZ F1,ER,ER cut-point,ER sensitivity,ER specificity,ER F1,UI,UI cut-point,UI sensitivity,UI specificity,UI F1,AUC,t_dbeta_avg,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene_y,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10
cg21894058,EIF2AK1,0.089596921,0.01,0.786432161,0.829787234,0.807528198,0.175130974,0.01,0.786432161,0.829787234,0.807528198,0.811027534,0.01,0.786432161,0.829787234,0.807528198,0.992462312,0.02,0.786432161,0.829787234,0.807528198,0.010825404,0.002442677,0.002442677,0.019505072,3.143214553,0.001726435,0.002746545,-2.898619139,0.017320385,0.019763062,0.002442677,7,6098788,F,I,EIF2AK1,1stExon,island,1stExon-island,chr7:6098449-6098982,,,high-CpG:6065143-6065407,,
cg09272629,ALKBH1,0.195124559,0.01,0.763819095,0.893617021,0.82363566,0.269432268,0.01,0.763819095,0.893617021,0.82363566,0.706547279,0.01,0.763819095,0.893617021,0.82363566,0.98241206,0.05,0.763819095,0.893617021,0.82363566,0.022051748,0.007230048,0.007230048,0.024372823,5.339705622,1.18E-07,3.15E-07,6.216334053,0.017906398,0.025136446,0.007230048,14,78174293,F,I,ALKBH1,1stExon,island,1stExon-island,chr14:78174054-78174550,,,,,
cg26089074,COPS3,0.151234898,0.01,0.753768844,0.914893617,0.826552188,0.243290923,0.01,0.753768844,0.914893617,0.826552188,0.732318339,0.01,0.753768844,0.914893617,0.826552188,0.98241206,0.03,0.753768844,0.914893617,0.826552188,0.022131936,0.003192902,0.003192902,0.023513088,3.020118099,0.002599007,0.004032901,-3.273759304,0.020657414,0.023850315,0.003192902,17,17184578,F,I,COPS3,1stExon,island,1stExon-island,chr17:17183886-17184699,,,high-CpG:17125245-17125346,rs35487101,
cg20961943,NOVA1,0.161392067,0.01,0.736180905,0.978723404,0.840300508,0.332299797,0.01,0.736180905,0.978723404,0.840300508,0.601205294,0.01,0.736180905,0.978723404,0.840300508,0.726023736,0.02,0.736180905,0.978723404,0.840300508,0.172057094,0.022473307,0.022473307,0.075636337,3.001488298,0.002761716,0.004269019,-3.329255576,0.055536615,0.078009922,0.022473307,14,27066577,F,II,NOVA1,1stExon,island,1stExon-island,chr14:27066313-27066578,,,,,
cg10290527,MTDH,0.010050251,0.03,0.826633166,0.893617021,0.85882097,0.1010371,0.01,0.826633166,0.893617021,0.85882097,0.893291919,0.01,0.826633166,0.893617021,0.85882097,0.98460387,0.02,0.826633166,0.893617021,0.85882097,0.005853737,0.002602214,0.002602214,0.019536239,3.161417688,0.001623217,0.002591978,-2.841900342,0.017208865,0.019811079,0.002602214,8,98657037,F,II,MTDH,1stExon,island,1stExon-island,chr8:98656153-98657230,,,,,
cg04225089,TRIM47,0.316743291,0.03,0.748743719,0.936170213,0.832032489,0.395594996,0.02,0.748743719,0.936170213,0.832032489,0.541075875,0.02,0.748743719,0.936170213,0.832032489,0.651234898,0.01,0.748743719,0.936170213,0.832032489,0.262028226,0.032136998,0.032136998,0.084252414,5.375029235,9.79E-08,2.63E-07,6.399558097,0.055509661,0.087646659,0.032136998,17,73874465,R,II,TRIM47,1stExon,island,1stExon-island,chr17:73873528-73874923,,,,,
cg14933485,PGR,0.211162194,0.01,0.703517588,0.936170213,0.80333855,0.365658078,0.01,0.703517588,0.936170213,0.80333855,0.559708243,0.01,0.703517588,0.936170213,0.80333855,0.861702128,0.04,0.703517588,0.936170213,0.80333855,0.12258099,0.020152684,0.020152684,0.049995998,2.992212978,0.002846154,0.004391421,-3.356760333,0.0319718,0.052124484,0.020152684,11,101000436,F,II,PGR,1stExon,island,1stExon-island,chr11:100999946-101000437,TRUE,,,,
cg15472673,GART,0.012562814,0.04,0.726130653,0.978723404,0.833714841,0.172351117,0.01,0.726130653,0.978723404,0.833714841,0.820725608,0.01,0.726130653,0.978723404,0.833714841,0.725114936,0.01,0.726130653,0.978723404,0.833714841,0.069817171,0.004332754,0.004332754,0.048888077,3.00759761,0.002707359,0.004190426,-3.311093636,0.04501294,0.049345694,0.004332754,21,34915098,R,II,GART,1stExon,island,1stExon-island,chr21:34914303-34915906,,,,,
cg18356760,SGPP1,0.282903881,0.01,0.728643216,0.936170213,0.819472096,0.324601732,0.01,0.728643216,0.936170213,0.819472096,0.656377286,0.01,0.728643216,0.936170213,0.819472096,0.985566129,0.15,0.728643216,0.936170213,0.819472096,0.014754624,0.012366096,0.012366096,0.029549903,2.972835303,0.003030225,0.004656473,-3.413953077,0.018489889,0.030855985,0.012366096,14,64194567,F,I,SGPP1,1stExon,island,1stExon-island,chr14:64194241-64195049,,,,,
cg16192916,PSME4,0.052924195,0.03,0.796482412,0.829787234,0.812793794,0.239762643,0.01,0.796482412,0.829787234,0.812793794,0.721735914,0.01,0.796482412,0.829787234,0.812793794,0.713140169,0.01,0.796482412,0.829787234,0.812793794,0.133085641,0.00892459,0.00892459,0.054565129,5.409007567,8.15E-08,2.21E-07,6.576872025,0.046583136,0.055507726,0.00892459,2,54197794,R,II,PSME4,1stExon,island,1stExon-island,chr2:54197776-54198490,,,,,
cg19497071,ETFB,0.110552764,0.04,0.793969849,0.829787234,0.811483506,0.227199829,0.01,0.793969849,0.829787234,0.811483506,0.739781858,0.01,0.793969849,0.829787234,0.811483506,0.713460922,0.01,0.793969849,0.829787234,0.811483506,0.122794825,0.030213391,0.030213391,0.065249712,2.953078126,0.003229042,0.004943012,-3.471890855,0.038227398,0.068440789,0.030213391,19,51869589,F,II,ETFB,1stExon,island,1stExon-island,chr19:51869400-51871587,,,,,
cg20961591,SPINT2,0.353041805,0.02,0.728643216,0.893617021,0.802741712,0.45739335,0.02,0.728643216,0.893617021,0.802741712,0.458095859,0.02,0.728643216,0.893617021,0.802741712,0.533946327,0.01,0.728643216,0.893617021,0.802741712,0.390222389,-0.020383642,-0.020383642,0.07306762,-2.95324663,0.003227297,0.004940492,-3.471398319,0.091298383,0.070914741,-0.020383642,19,38755588,R,I,SPINT2,1stExon,island,1stExon-island,chr19:38754846-38755699,TRUE,,,,
cg11037424,PRPF6,0.092750989,0.01,0.706030151,1,0.827687776,0.267186999,0.01,0.706030151,1,0.827687776,0.688642686,0.01,0.706030151,1,0.827687776,0.918421897,0.03,0.706030151,1,0.827687776,0.060595531,0.006658488,0.006658488,0.044900373,2.955352052,0.003205568,0.004909788,-3.465241871,0.038945141,0.045603629,0.006658488,20,62612592,F,II,PRPF6,1stExon,island,1stExon-island,chr20:62612300-62612787,,,,,
cg02741854,ITGA2,0.035763926,0.01,0.864321608,0.765957447,0.812172088,0.268149257,0.01,0.864321608,0.765957447,0.812172088,0.681894819,0.01,0.864321608,0.765957447,0.812172088,0.732706084,0.02,0.864321608,0.765957447,0.812172088,0.123409601,0.00878828,0.00878828,0.059960666,3.131805963,0.001794174,0.002847722,-2.934003654,0.052100586,0.060888866,0.00878828,5,52285176,F,II,ITGA2,1stExon,island,1stExon-island,chr5:52284715-52285489,TRUE,,high-CpG:52320660-52321094,,
cg25395559,ITGB8,0.17486368,0.02,0.834170854,0.936170213,0.882232154,0.319897359,0.01,0.834170854,0.936170213,0.882232154,0.61880196,0.01,0.834170854,0.936170213,0.882232154,0.912060302,0.04,0.834170854,0.936170213,0.882232154,0.102239923,0.016854667,0.016854667,0.048178768,3.183728497,0.001504473,0.002413738,-2.771945786,0.033104257,0.049958924,0.016854667,7,20371503,F,II,ITGB8,1stExon,island,1stExon-island,chr7:20370003-20371504,,,,,
cg09420988,MRPS30,0.139527424,0.01,0.796482412,0.893617021,0.842258422,0.157382658,0.01,0.796482412,0.893617021,0.842258422,0.839465655,0.01,0.796482412,0.893617021,0.842258422,0.998610072,0.04,0.796482412,0.893617021,0.842258422,0.001951246,0.002469895,0.002469895,0.019154967,2.958035734,0.003178065,0.004869584,-3.457388302,0.016945937,0.019415832,0.002469895,5,44809098,R,I,MRPS30,1stExon,island,1stExon-island,chr5:44809047-44809692,,,,,
cg20506460,SERINC3,0.203838341,0.01,0.881909548,0.787234043,0.83188675,0.264353683,0.01,0.881909548,0.787234043,0.83188675,0.716130367,0.01,0.881909548,0.787234043,0.83188675,0.992462312,0.04,0.881909548,0.787234043,0.83188675,0.015289212,0.006252142,0.006252142,0.029903783,5.595170797,2.93E-08,8.34E-08,7.56688176,0.02431198,0.030564122,0.006252142,20,43150682,R,II,SERINC3,1stExon,island,1stExon-island,chr20:43150299-43150779,,,,,
cg24815885,SDHAF1,0.179033465,0.01,0.72361809,0.978723404,0.832056274,0.289800064,0.01,0.72361809,0.978723404,0.832056274,0.672646158,0.01,0.72361809,0.978723404,0.832056274,0.971239175,0.04,0.72361809,0.978723404,0.832056274,0.02945579,0.0046536,0.0046536,0.037706032,3.017732287,0.002619342,0.004062399,-3.280885178,0.033543936,0.038197536,0.0046536,19,36486437,F,I,SDHAF1,1stExon,island,1stExon-island,chr19:36485937-36486852,,,,,rs7249826
cg19876724,IFT122,0.285202609,0.01,0.866834171,0.744680851,0.801127882,0.412648348,0.01,0.866834171,0.744680851,0.801127882,0.506007739,0.01,0.866834171,0.744680851,0.801127882,0.881909548,0.04,0.866834171,0.744680851,0.801127882,0.136934673,0.013021602,0.013021602,0.06464233,5.80197051,9.11E-09,2.73E-08,8.70318159,0.052996043,0.066017645,0.013021602,3,129159024,F,I,IFT122,1stExon,island,1stExon-island,chr3:129158602-129159477,,,high-CpG:130641639-130641918,,
cg08118646,EIF4E,0.261734203,0.01,0.841708543,0.765957447,0.802048349,0.391959799,0.01,0.841708543,0.765957447,0.802048349,0.533465271,0.01,0.841708543,0.765957447,0.802048349,0.836843793,0.03,0.841708543,0.765957447,0.802048349,0.194483054,-0.010253892,-0.010253892,0.03397206,-5.555119109,3.67E-08,1.03E-07,7.351248403,0.043142957,0.032889065,-0.010253892,4,99850258,R,I,EIF4E,1stExon,island,1stExon-island,chr4:99849305-99850552,,,,,
cg13181079,HYLS1,0.272693254,0.01,0.806532663,1,0.892906815,0.287715172,0.01,0.806532663,1,0.892906815,0.706350669,0.01,0.806532663,1,0.892906815,0.997487437,0.07,0.806532663,1,0.892906815,0.003608468,0.003495453,0.003495453,0.026972002,3.120069308,0.001866406,0.002955402,-2.970274346,0.023845732,0.027341185,0.003495453,11,125757629,R,I,HYLS1,1stExon,island,1stExon-island,chr11:125757055-125758107,,,high-CpG:125262801-125262846,,
cg24591182,PLCB3,0.06281407,0.02,0.781407035,0.936170213,0.851816116,0.172083823,0.01,0.781407035,0.936170213,0.851816116,0.809855732,0.01,0.781407035,0.936170213,0.851816116,0.94595317,0.01,0.781407035,0.936170213,0.851816116,0.029936919,0.003237935,0.003237935,0.020779363,3.027613776,0.002536054,0.003941116,-3.251335543,0.017883412,0.021121347,0.003237935,11,64019217,R,I,PLCB3,1stExon,island,1stExon-island,chr11:64018435-64019377,,,,,
cg09511237,SETD7,0.14236074,0.01,0.824120603,0.872340426,0.84754522,0.222281621,0.01,0.824120603,0.872340426,0.84754522,0.75875117,0.01,0.824120603,0.872340426,0.84754522,0.987437186,0.03,0.824120603,0.872340426,0.84754522,0.015503047,0.002972912,0.002972912,0.018999142,3.02864718,0.002527486,0.003928586,-3.248239784,0.016340223,0.019313135,0.002972912,4,140477492,R,I,SETD7,1stExon,island,1stExon-island,chr4:140476381-140478628,TRUE,,,,
cg19540034,APH1A,0.144017962,0.01,0.701005025,0.936170213,0.801697959,0.280872447,0.01,0.701005025,0.936170213,0.801697959,0.677492641,0.01,0.701005025,0.936170213,0.801697959,0.957286432,0.03,0.701005025,0.936170213,0.801697959,0.049716668,0.007657443,0.007657443,0.024930488,5.518900168,4.48E-08,1.25E-07,7.157494532,0.018081809,0.025739252,0.007657443,1,150241442,F,II,APH1A,1stExon,island,1stExon-island,chr1:150241047-150241654,,,high-CpG:148507973-148508102,,
cg22279341,POLQ,0.086763605,0.03,0.874371859,0.808510638,0.840152478,0.260451192,0.01,0.874371859,0.808510638,0.840152478,0.692951687,0.01,0.874371859,0.808510638,0.840152478,0.826205496,0.01,0.874371859,0.808510638,0.840152478,0.103362557,0.00854862,0.00854862,0.034341353,3.06373434,0.002251831,0.00352482,-3.142515531,0.026695622,0.035244241,0.00854862,3,121264693,F,I,POLQ,1stExon,island,1stExon-island,chr3:121264469-121264943,,,,rs55943551,
cg03154513,ID1,0.100502513,0.02,0.904522613,0.744680851,0.816855754,0.238105421,0.01,0.904522613,0.744680851,0.816855754,0.725638105,0.01,0.904522613,0.744680851,0.816855754,0.933711109,0.01,0.904522613,0.744680851,0.816855754,0.059419438,0.00520002,0.00520002,0.030310896,3.264427045,0.001138743,0.001858979,-2.514906082,0.025660092,0.030860112,0.00520002,20,30193400,F,II,ID1,1stExon,island,1stExon-island,chr20:30192854-30194025,,,,,
cg09618028,COX11,0.092750989,0.01,0.743718593,0.872340426,0.802911016,0.267186999,0.01,0.743718593,0.872340426,0.802911016,0.688642686,0.01,0.743718593,0.872340426,0.802911016,0.907195552,0.03,0.743718593,0.872340426,0.802911016,0.060301508,0.009356726,0.009356726,0.033973923,3.062219639,0.002263137,0.00354139,-3.147104238,0.025605436,0.034962161,0.009356726,17,53045955,F,II,COX11,1stExon,island,1stExon-island,chr17:53045603-53046368,,,,,
cg24809958,KLHL21,0.060301508,0.02,0.733668342,0.936170213,0.822640543,0.170105848,0.01,0.733668342,0.936170213,0.822640543,0.812280302,0.01,0.733668342,0.936170213,0.822640543,0.944509783,0.01,0.733668342,0.936170213,0.822640543,0.029402331,0.003608744,0.003608744,0.029126816,2.99063769,0.002860727,0.004412581,-3.361423359,0.02589922,0.029507964,0.003608744,1,6662478,R,II,KLHL21,1stExon,island,1stExon-island,chr1:6661776-6663844,,,,,
cg10985576,UBE2C,0.002512563,0.1,0.904522613,0.85106383,0.876979294,0.217203036,0.01,0.904522613,0.85106383,0.876979294,0.753008909,0.01,0.904522613,0.85106383,0.876979294,0.600128301,0.03,0.904522613,0.85106383,0.876979294,0.177215867,0.007783412,0.007783412,0.072942593,3.257890226,0.00116498,0.001899007,-2.535960917,0.065981249,0.073764661,0.007783412,20,44441519,R,II,UBE2C,1stExon,island,1stExon-island,chr20:44440946-44441655,,,,,rs45590234
cg15714599,IRS2,0.182508286,0.01,0.804020101,0.936170213,0.865077415,0.34929969,0.01,0.804020101,0.936170213,0.865077415,0.578541178,0.01,0.804020101,0.936170213,0.865077415,0.748209131,0.03,0.804020101,0.936170213,0.865077415,0.151849674,-0.04354741,-0.04354741,0.920475959,-3.059730084,0.002281833,0.003568871,-3.154641389,0.95942398,0.915876569,-0.04354741,13,110435424,R,I,IRS2,1stExon,island,1stExon-island,chr13:110434466-110440180,,,,,
cg04899896,PAQR3,0.14102427,0.01,0.854271357,0.829787234,0.841851311,0.206885491,0.01,0.854271357,0.829787234,0.841851311,0.778535075,0.01,0.854271357,0.829787234,0.841851311,0.987918315,0.06,0.854271357,0.829787234,0.841851311,0.013578531,0.004931512,0.004931512,0.030006246,3.251894704,0.001189535,0.001936649,-2.55523603,0.025595591,0.030527102,0.004931512,4,79860379,R,I,PAQR3,1stExon,island,1stExon-island,chr4:79860213-79860745,,,,,
cg06883736,LAMC1,0.228803592,0.02,0.781407035,0.957446809,0.860515879,0.348978937,0.01,0.781407035,0.957446809,0.860515879,0.582624282,0.01,0.781407035,0.957446809,0.860515879,0.873142307,0.04,0.781407035,0.957446809,0.860515879,0.114348337,0.026946073,0.026946073,0.07313042,3.072605585,0.00218665,0.003428489,-3.115595944,0.049030337,0.07597641,0.026946073,1,182992627,R,I,LAMC1,1stExon,island,1stExon-island,chr1:182991804-182993370,,,high-CpG:181258952-181259376,,
cg07574654,PHF14,0.101838982,0.03,0.698492462,0.957446809,0.807722107,0.236073987,0.01,0.698492462,0.957446809,0.807722107,0.727037644,0.01,0.698492462,0.957446809,0.807722107,0.697049075,0.01,0.698492462,0.957446809,0.807722107,0.13795039,0.005971542,0.005971542,0.051425654,2.859464,0.004342848,0.006524935,-3.741260927,0.046084814,0.052056356,0.005971542,7,11013562,F,II,PHF14,1stExon,island,1stExon-island,chr7:11013426-11013888,,,,,
cg06554542,GNPTAB,0.113225703,0.01,0.851758794,0.85106383,0.85141117,0.149150005,0.01,0.851758794,0.85106383,0.85141117,0.845292878,0.01,0.851758794,0.85106383,0.85141117,0.997487437,0.04,0.851758794,0.85106383,0.85141117,0.004009409,0.002756494,0.002756494,0.02022817,3.245490271,0.001216294,0.001977413,-2.575787457,0.017762812,0.020519306,0.002756494,12,102224375,F,II,GNPTAB,1stExon,island,1stExon-island,chr12:102224262-102224614,,,,,
cg24975564,PDE3A,0.344541858,0.04,0.753768844,0.914893617,0.826552188,0.424569657,0.03,0.753768844,0.914893617,0.826552188,0.512029144,0.03,0.753768844,0.914893617,0.826552188,0.224366513,0.02,0.753768844,0.914893617,0.826552188,0.49297017,0.110769597,0.110769597,0.163678524,5.679759108,1.83E-08,5.30E-08,8.027034866,0.064608188,0.175377784,0.110769597,12,20522236,R,II,PDE3A,1stExon,island,1stExon-island,chr12:20521616-20523122,TRUE,,,,
cg17623341,E2F1,0.087939698,0.02,0.693467337,0.957446809,0.80435205,0.220410563,0.01,0.693467337,0.957446809,0.80435205,0.747808795,0.01,0.693467337,0.957446809,0.80435205,0.850048113,0.01,0.693467337,0.957446809,0.80435205,0.071848605,0.003647156,0.003647156,0.028432606,2.874404141,0.004144421,0.006245767,-3.698842424,0.025170655,0.028817811,0.003647156,20,32273902,R,I,E2F1,1stExon,island,1stExon-island,chr20:32273557-32274505,,,high-CpG:31737550-31737583,,
cg27050550,DDX56,0.117716241,0.01,0.783919598,0.829787234,0.80620155,0.269432268,0.01,0.783919598,0.829787234,0.80620155,0.689197053,0.01,0.783919598,0.829787234,0.80620155,0.960761253,0.02,0.783919598,0.829787234,0.80620155,0.04482519,0.004451552,0.004451552,0.024408249,3.028568397,0.002528138,0.003929548,-3.248475831,0.020426861,0.024878413,0.004451552,7,44613552,F,I,DDX56,1stExon,island,1stExon-island,chr7:44613211-44613875,,,high-CpG:44580013-44580099,,
cg10469152,ABCC8,0.199294344,0.02,0.819095477,0.808510638,0.81376864,0.34181546,0.01,0.819095477,0.808510638,0.81376864,0.593007813,0.01,0.819095477,0.808510638,0.81376864,0.725114936,0.03,0.819095477,0.808510638,0.81376864,0.222468727,0.019297619,0.019297619,0.152387848,2.99034564,0.002863436,0.004416526,-3.362287594,0.135128405,0.154426024,0.019297619,11,17498236,F,I,ABCC8,1stExon,island,1stExon-island,chr11:17497463-17498626,,,,,
cg02576503,SLC27A1,0.089383086,0.01,0.801507538,0.872340426,0.83542525,0.291457286,0.01,0.801507538,0.872340426,0.83542525,0.651977579,0.01,0.801507538,0.872340426,0.83542525,0.853897145,0.02,0.801507538,0.872340426,0.83542525,0.099673901,0.007292829,0.007292829,0.033766867,3.076762169,0.00215671,0.003384233,-3.102956672,0.027244292,0.034537121,0.007292829,19,17581430,R,II,SLC27A1,1stExon,island,1stExon-island,chr19:17581190-17581675,,,,,
cg07063853,API5,0.162407784,0.01,0.788944724,0.914893617,0.847264056,0.337752593,0.01,0.788944724,0.914893617,0.847264056,0.592343737,0.01,0.788944724,0.914893617,0.847264056,0.798032717,0.02,0.788944724,0.914893617,0.847264056,0.128194162,-0.004937804,-0.004937804,0.024387082,-3.029047103,0.002524177,0.003923722,-3.24704146,0.028803365,0.023865561,-0.004937804,11,43333512,R,I,API5,1stExon,island,1stExon-island,chr11:43333439-43333887,,,high-CpG:43290078-43290189,,
cg27307781,CBR1,0.286752914,0.17,0.859296482,0.808510638,0.833130329,0.374425318,0.05,0.859296482,0.808510638,0.833130329,0.556081471,0.05,0.859296482,0.808510638,0.833130329,0.205816316,0.05,0.859296482,0.808510638,0.833130329,0.656366941,0.128839733,0.128839733,0.178209697,5.826410349,7.91E-09,2.38E-08,8.839999068,0.062977756,0.191817489,0.128839733,21,37442289,F,I,CBR1,1stExon,island,1stExon-island,chr21:37442140-37442778,,,high-CpG:36364101-36364201,,
cg01603374,PADI2,0.070832888,0.03,0.864321608,0.85106383,0.857641486,0.239923019,0.02,0.864321608,0.85106383,0.857641486,0.722547973,0.02,0.864321608,0.85106383,0.857641486,0.367261841,0.01,0.864321608,0.85106383,0.857641486,0.261199615,0.018685335,0.018685335,0.057985172,3.158027452,0.001641999,0.002619922,-2.852488183,0.041273343,0.059958679,0.018685335,1,17445809,R,II,PADI2,1stExon,island,1stExon-island,chr1:17445651-17446088,TRUE,,,,
cg13443103,PHPT1,0.181546028,0.01,0.819095477,0.85106383,0.834773702,0.291884957,0.01,0.819095477,0.85106383,0.834773702,0.670215672,0.01,0.819095477,0.85106383,0.834773702,0.969421576,0.03,0.819095477,0.85106383,0.834773702,0.04041484,0.004516257,0.004516257,0.025258375,3.147749581,0.001700169,0.00270694,-2.88451849,0.021219116,0.025735373,0.004516257,9,139743284,R,I,PHPT1,1stExon,island,1stExon-island,chr9:139738276-139744618,,,high-CpG:138863029-138863698,,
cg00920043,UBIAD1,0.103335828,0.02,0.896984925,0.829787234,0.862078573,0.291350369,0.01,0.896984925,0.829787234,0.862078573,0.650879371,0.01,0.896984925,0.829787234,0.862078573,0.775686945,0.01,0.896984925,0.829787234,0.862078573,0.151983321,0.005835501,0.005835501,0.044495262,3.234397808,0.001263962,0.002050359,-2.61128887,0.039276095,0.045111596,0.005835501,1,11333412,F,II,UBIAD1,1stExon,island,1stExon-island,chr1:11333259-11333547,,,high-CpG:11255831-11256167,,
cg09601770,DPP4,0.44990912,0.03,0.846733668,0.765957447,0.804322604,0.471506469,0.03,0.846733668,0.765957447,0.804322604,0.45867675,0.02,0.846733668,0.765957447,0.804322604,0.443921736,0.01,0.846733668,0.765957447,0.804322604,0.369614028,0.11031136,0.11031136,0.139855516,6.101333497,1.57E-09,5.06E-09,10.41563225,0.041195019,0.151506379,0.11031136,2,162930671,R,I,DPP4,1stExon,island,1stExon-island,chr2:162930233-162930879,TRUE,,high-CpG:162638900-162638934,,
