gene,dbeta,feature,ID,cluster
DPP10,0.3615716280899201,TSS1500,cg03753331,1
DRGX,-0.350732300477057,TSS1500,cg17494438,4
DSE,0.4479651805941646,TSS1500,cg09025324,4
DTNA,0.4252538008303224,TSS200,cg26530706,1
DUOX1,0.4023351754961072,TSS1500,cg13605988,1
E2F6,-0.3768209728679273,TSS1500,cg23214755,4
E2F8,0.3547824679417963,TSS1500,cg11095319,4
EFEMP1,0.5441504261023485,TSS200,cg05385513,3
EFS,0.4989869825641672,TSS200,cg18844382,1
EGFLAM,0.4966786682181983,TSS1500,cg16317273,3
ENOSF1,-0.3690916247749357,TSS1500,cg07100532,4
ENPP2,0.4930193449150943,TSS1500,cg06998282,1
EPHX3,0.392525022142079,TSS200,cg26010734,4
EYA4,0.5016606519394996,TSS200,cg20787173,4
FAIM2,0.5122963946151298,TSS200,cg06947913,4
FAM193B,-0.4166042084406448,TSS1500,cg18478850,4
FAM81A,0.440084560725337,TSS1500,cg25489866,1
FAM92A1,0.3609499308382725,TSS1500,cg08268017,4
FBN1,0.370279136499168,TSS1500,cg08151731,3
FBN2,0.4798270907321764,TSS1500,cg27223047,3
FBXO17,0.4685395036200612,TSS200,cg06244497,4
FBXO30,0.5350145652200544,TSS1500,cg23095615,4
FCER1A,-0.4177328564375379,TSS1500,cg14696870,2
FER1L5,0.4475069028705267,TSS200,cg02582940,1
FGF2,0.3523965592346608,TSS200,cg04332818,3
FGF8,0.3903195369676645,TSS1500,cg25209842,3
FJX1,0.4234831769323093,TSS200,cg23083315,4
FLOT1,0.4164938109734228,TSS1500,cg13804182,4
FOXG1,0.3846163214753437,TSS1500,cg25078444,4
FREQ,0.4285864453522733,TSS1500,cg13463203,1
GCM2,0.4486114388470436,TSS200,cg14250833,4
GCNT2,0.4099628807892637,TSS200,cg12242450,4
GDAP1L1,0.5156331516603071,TSS200,cg09994356,4
GFM1,-0.3576974660212797,TSS1500,cg03802272,4
GFRA3,0.4229347583794295,TSS200,cg09350274,2
GIT1,0.3737343929416338,TSS1500,cg12080909,4
GLI3,0.4341076778977313,TSS1500,cg25726664,4
GLYATL2,0.3642238674352942,TSS200,cg18551877,4
GPR88,0.3684449357180389,TSS200,cg06223162,1
GPX3,0.3581033852110044,TSS200,cg13081720,3
GREM1,0.389096026221974,TSS1500,cg03884132,3
GRHL3,0.4568660491400871,TSS1500,cg14616251,4
GSTM2,0.5160136965152183,TSS200,cg20676696,4
GSX2,0.467904428291019,TSS1500,cg13506653,4
HAAO,0.4577192563472286,TSS200,cg08421126,4
HCN4,0.3626784116907104,TSS1500,cg02453462,1
HDAC9,0.352390213908238,TSS1500,cg12081743,4
HES5,0.4494121273968553,TSS200,cg09827752,4
HHIP,0.3609157433069089,TSS1500,cg26621699,1
HIF3A,0.5831296184728455,TSS1500,cg14117138,1
HIST1H1A,0.384824780579366,TSS200,cg14703002,4
HIST1H3G,0.4185004055707932,TSS200,cg00036011,3
HIST1H3J,0.3583041496911643,TSS200,cg17718302,3
HIST1H4D,0.3774810507378943,TSS200,cg19884345,3
HMGCL,-0.3575363988635334,TSS1500,cg09473613,4
HVCN1,0.466213707721873,TSS1500,cg22325530,1
ICAM4,0.3757981738768577,TSS200,cg14993276,1
IFI16,-0.4160008542200493,TSS1500,cg21406461,4
IFNGR2,0.3919212671934483,TSS200,cg22212414,2
IGFBP7,0.3898772037974203,TSS1500,cg19045644,3
IKZF1,0.4883333425011813,TSS1500,cg07589773,4
IL1B,0.3680756139527599,TSS200,cg07935264,3
INA,0.3735088638525409,TSS1500,cg18673954,4
IQCA1,0.3512668939905132,TSS1500,cg17397592,4
ITGBL1,-0.4232486243923744,TSS1500,cg16852483,1
ITIH5,0.5041225322577653,TSS1500,cg10119075,3
JDP2,0.382264937511408,TSS1500,cg10101773,4
KCNAB1,-0.3679232017617054,TSS1500,cg24926465,1
KCNH2,0.5627125483730105,TSS200,cg20883831,1
KCNT2,-0.4005016948144977,TSS1500,cg24040450,1
KIAA1751,0.4252171992015651,TSS200,cg26067203,4
KLHDC8A,0.3911907554710866,TSS200,cg07429623,3
KLK13,0.4384724604873751,TSS200,cg20104456,3
LAMA2,0.4495347780297112,TSS200,cg20640433,3
LCE6A,-0.3506238567338626,TSS1500,cg09417355,4
LDB1,0.4868205039508078,TSS1500,cg25170591,4
LELP1,-0.4083056379592109,TSS200,cg00298977,3
LEP,0.3795453845595678,TSS200,cg00840332,3
LPAR1,0.4527582030696238,TSS1500,cg14102988,2
LRFN5,0.3784770393528959,TSS1500,cg02454806,1
LRP1B,-0.3899147185700002,TSS1500,cg21340845,1
LRP4,0.374456164968558,TSS1500,cg09242181,1
LRRC4,0.3501167401786126,TSS200,cg00353923,1
LRRC8C,0.3652559565904717,TSS1500,cg14254720,1
LTF,0.370549151390178,TSS200,cg26307117,3
LUZP1,0.3628464395754027,TSS1500,cg26530485,4
MACF1,0.4578807432776574,TSS1500,cg00349607,1
MAGI2,0.3646467021204709,TSS1500,cg24021956,4
MARCO,-0.3692718960416039,TSS200,cg11009736,2
MARK4,-0.3718291819971684,TSS1500,cg05323709,4
MARVELD1,0.4633078507440366,TSS1500,cg06679087,1
METTL11B,-0.3536532190076277,TSS1500,cg24488391,4
MFAP4,0.3601901429883539,TSS1500,cg20431135,3
MIR663,0.3612963148413324,TSS1500,cg10715092,3
MIR9-1,0.4162971098782521,TSS200,cg26371731,3
MMADHC,-0.3755173979187621,TSS1500,cg07483086,4
MMP14,0.4069080686390583,TSS1500,cg01508380,3
MNDA,-0.3558195050896111,TSS1500,cg25119415,4
MTMR7,0.3748537041086029,TSS200,cg12296772,1
MYCL1,0.3769313777453273,TSS1500,cg15355146,4
MYO16,0.3675211902882361,TSS200,cg05933736,4
NAT8L,0.4204279229815842,TSS1500,cg19300568,4
NDRG2,0.4040528318824199,TSS1500,cg20902783,3
NEU1,0.4008294560331007,TSS1500,cg18363192,1
NFATC3,0.4057500312601952,TSS1500,cg00402172,4
NIPAL4,0.4077432181318225,TSS200,cg23483765,1
NKX2-6,0.3932166577854522,TSS1500,cg03694713,4
NOTUM,0.4357700009221007,TSS1500,cg15866977,3
NPBWR1,0.3759565724614412,TSS1500,cg26205771,2
NPSR1,-0.3862142191298943,TSS1500,cg08564874,2
NR1H3,0.449149727568382,TSS200,cg00536939,4
NRIP2,0.4097272948108237,TSS1500,cg02852959,4
NT5C1A,0.3594725556227381,TSS1500,cg00990022,4
NUAK1,0.4262453737242874,TSS200,cg18525352,4
NUP43,-0.353640448605017,TSS1500,cg20335735,4
OC90,-0.3900080587669796,TSS1500,cg25626375,4
OR10AG1,-0.3543922182261813,TSS1500,cg18099058,2
OR10G4,-0.4098628556153255,TSS1500,cg26110281,2
OR10J1,-0.4281897073414136,TSS1500,cg15700197,2
OR10J5,-0.3552606019097999,TSS1500,cg07037019,2
OR2Y1,-0.3696435623889023,TSS1500,cg02735829,2
OR4K2,0.3639965947372307,TSS200,cg26786795,2
OR51B2,-0.3785347946167297,TSS1500,cg14269191,2
OR51I1,-0.394281651328515,TSS200,cg24803687,2
OR51M1,-0.3555275274149412,TSS200,cg27093637,2
OR52L1,-0.3720912087279975,TSS200,cg27480913,2
OR56A3,-0.3802337496428793,TSS1500,cg25451456,2
OR5P3,-0.4079819499313099,TSS1500,cg16226642,2
OR6K2,-0.3882811556361676,TSS200,cg02245566,2
OR6N1,-0.4034782062555069,TSS1500,cg14514991,2
OR8B12,-0.3990711656673879,TSS1500,cg24360034,2
OR8B2,-0.3604565956212294,TSS1500,cg13012115,2
OVCH2,-0.3854929089695089,TSS1500,cg13563074,3
PACSIN3,0.4014579084044862,TSS1500,cg08300419,1
PAH,0.4362728190465429,TSS200,cg24167314,4
PAQR9,0.4246510716916011,TSS1500,cg00970325,2
PAX3,0.3692942773850488,TSS1500,cg18077971,4
PDE4B,0.4129845521370959,TSS200,cg22488256,4
PDGFRA,0.3525113150225623,TSS1500,cg00691999,1
PDGFRB,0.4053042069315715,TSS1500,cg12727795,1
PDLIM4,0.3580438920825041,TSS1500,cg04518342,4
PDPN,0.3846098027109167,TSS1500,cg18877506,1
PDZD7,0.4161566877116745,TSS1500,cg26582768,1
PER1,0.3763576043628822,TSS1500,cg10708955,4
PFDN4,-0.355637708693082,TSS1500,cg22154859,4
PFKP,0.4866845937585612,TSS1500,cg07198194,4
PGLYRP3,-0.381230433079723,TSS1500,cg06275635,3
PHAX,-0.3572458194151142,TSS1500,cg01267270,4
PHOX2A,0.4314522318643974,TSS1500,cg24530250,4
PLEKHA6,0.377476234643657,TSS200,cg04705659,3
PLTP,0.3622488469754727,TSS1500,cg24182521,3
PODN,0.5106700727073005,TSS1500,cg04765848,3
PON3,0.4339486564166194,TSS200,cg23230584,3
POU3F3,0.4051427919812629,TSS1500,cg19513834,4
PPT2,0.5145276888191326,TSS200,cg14130039,3
PROM1,0.45397268935356,TSS200,cg04203238,1
PTPRN,0.3804121015887295,TSS200,cg03970036,1
PYCARD,0.4253996964648591,TSS200,cg12100791,4
RAB17,-0.4383025970389297,TSS1500,cg06353069,1
RAPGEFL1,0.4164680289401035,TSS200,cg25813864,1
RARRES1,0.3640374929092195,TSS1500,cg18349298,3
RARRES2,0.429936785359361,TSS200,cg27494647,3
RASSF5,0.3549231681513892,TSS1500,cg16032102,4
RBP1,0.3944910984719156,TSS1500,cg15229124,4
RBPMS2,0.3553639277760796,TSS1500,cg11479165,4
REC8,0.3528047826371375,TSS200,cg16425038,4
RFX2,-0.359201450486905,TSS1500,cg18244845,4
RFX7,0.449081353842305,TSS1500,cg08857201,4
RGS10,-0.3803595871655132,TSS1500,cg10292430,1
RHCG,0.4729111455976939,TSS200,cg01837657,1
RNF152,0.4481471290863765,TSS200,cg07980518,4
RUSC1,0.3650797311772444,TSS200,cg19516515,4
S100A6,0.3600207113535782,TSS1500,cg10959711,4
SEMA5A,0.4281154055298899,TSS1500,cg03702236,3
SERPINA12,0.3718571228656965,TSS1500,cg19630689,1
SFRP5,0.4573423659755001,TSS200,cg07834955,3
SFXN5,0.3824296140674622,TSS200,cg23396786,4
SGIP1,0.3976621333961367,TSS1500,cg00920348,1
SH3TC2,0.3550629186538619,TSS200,cg26474043,1
SIM1,0.3810600329675013,TSS1500,cg27252696,4
SIX2,0.4886907887197123,TSS1500,cg02711647,4
SLC13A3,0.431968235896353,TSS200,cg06263461,3
SLC17A8,0.4587939188805395,TSS200,cg06563300,1
SLC18A2,0.3859978787164129,TSS200,cg15173134,1
SLC25A39,0.5169637683673528,TSS1500,cg09691340,4
SLC2A2,0.4873995844724667,TSS1500,cg24302235,1
SLC35D3,0.3660912168303625,TSS1500,cg26870192,4
SLC4A11,0.3999343296339671,TSS1500,cg10748765,1
SLC5A7,0.3929004947221921,TSS200,cg26001902,1
SLC6A3,0.4656815043139043,TSS1500,cg16703956,1
SLCO4C1,0.46502782868312,TSS200,cg19788741,1
SLFN11,0.4564778597840299,TSS1500,cg18108623,4
SLITRK3,0.3604053292963915,TSS1500,cg25831075,1
SNORA10,-0.3692422614542189,TSS1500,cg00175153,4
SNORD123,0.4310213099737637,TSS1500,cg18334392,4
SNORD36C,-0.3528956430300282,TSS1500,cg14557554,4
SOBP,0.3524909532979834,TSS1500,cg09581551,4
SORCS1,0.3889935971585567,TSS1500,cg11097433,2
SOSTDC1,0.5148544650945461,TSS200,cg06363129,3
SOX1,0.3879066469793325,TSS1500,cg24604013,4
SPATS1,0.3663691155644539,TSS200,cg18959554,3
SPRR2G,-0.3726869046825241,TSS200,cg11267802,4
SPRR3,-0.3549105987497444,TSS1500,cg04138756,4
SPRR4,-0.3841089183992424,TSS1500,cg08948808,4
SPRY4,0.4481801777574894,TSS1500,cg14619259,4
SSTR4,0.4297689670545174,TSS200,cg07676859,2
ST6GALNAC6,-0.3857337398350784,TSS1500,cg14202783,1
STEAP2,-0.3701558052955938,TSS1500,cg26904169,1
SYT6,0.3522999115219604,TSS1500,cg19901801,1
TAC1,0.49882622997117,TSS200,cg17437939,3
TBX20,0.4679280392246802,TSS200,cg17985646,4
TCEA2,0.4117043383393323,TSS200,cg12176783,4
TET2,0.3819739471051606,TSS1500,cg08924430,4
THBS4,0.3807990201502836,TSS200,cg00795341,3
TIAM1,0.3515677107723697,TSS1500,cg15853125,4
TIMP2,0.4601564232191874,TSS1500,cg05306745,3
TM9SF4,-0.3788169097616293,TSS1500,cg20672708,4
TMEM176B,0.3526196646329487,TSS1500,cg05017199,4
TMEM196,0.3568221994765092,TSS1500,cg04111071,1
TP53AIP1,0.3534227158357043,TSS200,cg09682051,4
TSPAN5,0.3886944041026812,TSS1500,cg08979352,4
TTBK1,0.3886526356839543,TSS200,cg27363327,4
TUBA4B,0.4724596574702187,TSS200,cg08640923,4
TXNRD1,0.4325087756830694,TSS200,cg17395064,4
UBE4B,-0.3564715404819143,TSS1500,cg09355820,4
UBXN10,0.3554978399411803,TSS200,cg24685601,4
UFSP1,0.4337942928010463,TSS1500,cg15575433,4
UNC13C,-0.3507613713188806,TSS1500,cg06530558,1
VANGL2,0.3739649726825242,TSS1500,cg10400707,1
VIPR2,0.3698840135846535,TSS1500,cg08614290,2
VSNL1,0.3694600153471512,TSS1500,cg11509669,1
VWC2,0.4789878446720476,TSS200,cg01893212,3
VWCE,0.3559464055645795,TSS200,cg06282270,3
WDR69,0.3682033450375221,TSS200,cg00063174,4
WFDC5,0.3714043733690049,TSS200,cg11626007,3
WIPF1,0.3891281618147392,TSS1500,cg13999188,4
WNT16,0.3526123086023259,TSS200,cg05470554,3
ZFP42,0.4206915916306529,TSS200,cg06274159,4
ZNF48,0.3778592709339816,TSS1500,cg16014085,4
ZNF577,0.5592721773906614,TSS200,cg16731240,4
ZNF648,-0.3561479905047999,TSS1500,cg13498800,4
ZNF655,0.3844103770454904,TSS1500,cg05165378,4
ZP4,-0.3896347901988333,TSS1500,cg26810908,3
