ID,gene,dbeta,feature,cluster
cg05246522,KSR1,-0.347466,TSS200,3
cg00840332,LEP,0.33051,TSS200,3
cg07836815,LIMD2,0.362847,TSS1500,3
cg23971170,LMX1A,0.401185,TSS1500,1
cg09539739,LONP2,-0.346184,TSS1500,3
cg23676439,LRAT,0.290874,TSS1500,3
cg19717640,LRIT2,-0.30168,TSS1500,3
cg04604142,LUC7L3,-0.390637,TSS1500,3
cg08569678,LY6K,-0.362157,TSS200,3
cg13382769,MAGI2,0.353241,TSS1500,3
cg02749784,MAL2,-0.356269,TSS1500,3
cg16150752,MARCH11,0.397243,TSS200,3
cg18856581,MDGA2,0.297545,TSS1500,3
cg13702629,MEGF11,0.308837,TSS1500,3
cg03985727,MEOX2,0.371543,TSS1500,1
cg20380768,MEST,-0.31284,TSS1500,3
cg15649236,MIR10A,0.321531,TSS200,2
cg19519747,MIR10B,0.350634,TSS1500,2
cg25562958,MIR1197,-0.347854,TSS1500,2
cg07792478,MIR124-2,0.441856,TSS1500,2
cg08737296,MIR124-3,0.291166,TSS1500,2
cg24150623,MIR125B1,0.322152,TSS1500,2
cg14416371,MIR129-2,0.3351,TSS200,2
cg01452847,MIR196A1,0.456402,TSS1500,2
cg10662314,MIR196A2,0.307451,TSS1500,2
cg25644556,MIR196B,0.290253,TSS1500,2
cg04276626,MIR21,-0.418406,TSS200,2
cg02577745,MIR493,-0.301242,TSS1500,2
cg27074221,MIR495,-0.321639,TSS200,2
cg10753636,MIR520A,-0.296416,TSS1500,2
cg17670263,MIR520C,-0.345258,TSS1500,2
cg14119827,MIR526A1,-0.292398,TSS1500,2
cg05865548,MIR543,-0.307083,TSS200,2
cg06807993,MIR657,-0.418867,TSS1500,2
cg01022345,MIR770,-0.302714,TSS1500,2
cg07964848,MKX,0.401568,TSS1500,1
cg25119415,MNDA,-0.320229,TSS1500,3
cg01518398,MOBKL1B,-0.291893,TSS1500,3
cg16659728,MRGPRD,-0.307535,TSS200,3
cg05595134,MRPL15,-0.295032,TSS1500,3
cg03377767,MSGN1,-0.30057,TSS1500,1
cg15092343,MSX1,0.432191,TSS1500,1
cg21367256,MYT1,-0.345604,TSS200,1
cg01828733,NAV1,-0.344539,TSS200,3
cg25691553,NDUFAF3,-0.297419,TSS200,3
cg23290344,NEFM,0.434453,TSS1500,3
cg24863335,NETO1,0.350252,TSS1500,3
cg22881914,NID2,0.469177,TSS1500,3
cg00939432,NIPSNAP1,-0.337408,TSS1500,3
cg18736063,NKX2-4,0.357787,TSS1500,3
cg03694713,NKX2-6,0.379466,TSS1500,1
cg06621744,NKX2-8,0.290599,TSS1500,1
cg26205771,NPBWR1,0.358776,TSS1500,3
cg08315202,NPTX2,0.341555,TSS1500,3
cg12646227,NSUN4,-0.338657,TSS1500,3
cg20335735,NUP43,-0.291,TSS1500,3
cg03292284,OPN3,-0.292038,TSS1500,3
cg22370006,OPRM1,0.302119,TSS200,3
cg26110281,OR10G4,-0.350318,TSS1500,3
cg26043322,OR10J5,-0.297889,TSS1500,3
cg02735829,OR2Y1,-0.293695,TSS1500,3
cg14269191,OR51B2,-0.29687,TSS1500,3
cg03168749,OR8B12,-0.300758,TSS200,3
cg11195360,OR8B8,-0.309431,TSS1500,3
cg07336617,OTP,0.335957,TSS1500,1
cg17128799,PANK4,-0.300041,TSS1500,3
cg05616355,PANX3,-0.302417,TSS1500,3
cg07747336,PATE2,-0.295959,TSS1500,3
cg18077971,PAX3,0.452742,TSS1500,1
cg08886154,PAX4,-0.311554,TSS1500,1
cg13655303,PCK1,-0.296572,TSS1500,3
cg22488256,PDE4B,0.300428,TSS200,3
cg14444710,PDPK1,-0.30023,TSS1500,3
cg24377694,PDYN,-0.378956,TSS1500,3
cg01380361,PFKFB2,-0.305443,TSS1500,3
cg06847624,PFN3,0.311636,TSS200,3
cg25631489,PHC3,-0.329915,TSS1500,1
cg19991916,PIGB,-0.3814,TSS1500,3
cg24313303,PIGV,0.307822,TSS1500,3
cg04765848,PODN,0.338108,TSS1500,3
cg10243004,POLR2D,-0.309786,TSS1500,3
cg03120185,PRDM13,0.378338,TSS1500,1
cg02429905,PRRT1,0.351017,TSS1500,3
cg06550984,PTF1A,0.290683,TSS1500,1
cg04842146,RALYL,0.344281,TSS200,3
cg00090261,RGS22,0.396839,TSS1500,3
cg06466839,RICS,-0.315522,TSS200,3
cg14562054,RIN1,-0.298249,TSS1500,3
cg15014975,RUNX3,0.385598,TSS1500,1
cg19516515,RUSC1,0.296539,TSS200,3
cg07661904,SAR1A,-0.354058,TSS1500,3
cg20785796,SATB2,0.403504,TSS1500,1
cg08677655,SCARF1,0.301245,TSS200,3
cg05818824,SCN4A,-0.304643,TSS1500,3
cg25774643,SCT,0.564513,TSS200,3
cg26753302,SERPINB5,-0.351594,TSS200,3
cg26856289,SFRS13A,-0.310461,TSS1500,3
cg03240663,SIGLEC14,-0.290885,TSS1500,3
cg27252696,SIM1,0.486253,TSS1500,1
cg24000908,SLC12A7,-0.34995,TSS1500,3
cg04458776,SLC22A6,-0.329605,TSS1500,3
cg11207307,SLC2A14,0.343003,TSS200,3
cg03226000,SLC6A2,0.349734,TSS200,3
cg06565975,SLURP1,-0.318171,TSS200,3
cg05218696,SNORD113-4,-0.292043,TSS1500,3
cg26202762,SNORD115-10,-0.296478,TSS1500,3
cg22407942,SNORD93,-0.382828,TSS1500,3
cg11097433,SORCS1,0.31872,TSS1500,3
cg16428251,SOX14,0.313217,TSS200,1
cg03181248,SP9,0.324776,TSS200,1
cg18247055,SPAG6,0.360697,TSS200,3
cg12213062,SPEG,0.352441,TSS200,3
cg06092815,SPHKAP,0.297525,TSS200,3
cg18278184,SRGN,0.290368,TSS1500,3
cg07676859,SSTR4,0.328559,TSS200,3
cg17339327,STK19,-0.290349,TSS1500,3
cg18721397,SUB1,-0.343558,TSS1500,1
cg03241461,SVIL,-0.300132,TSS1500,3
cg04608356,SYTL1,-0.30798,TSS200,3
cg17437939,TAC1,0.467581,TSS200,3
cg00875511,TACR3,0.308859,TSS200,3
cg26143452,TBPL2,0.29233,TSS200,3
cg17985646,TBX20,0.532055,TSS200,3
cg25984671,TCF15,0.294949,TSS200,3
cg11625005,TERT,0.299282,TSS1500,3
cg10129408,TFAP2A,0.310013,TSS1500,1
cg02131853,TMEM156,-0.34505,TSS1500,3
cg04111071,TMEM196,0.338444,TSS1500,3
cg07890553,TMEM39A,-0.354502,TSS1500,3
cg26530341,TNFRSF10A,-0.355116,TSS1500,3
cg02138218,TNN,-0.321384,TSS1500,3
cg07382920,TP73,0.394355,TSS1500,1
cg08191854,TRPM2,-0.350356,TSS200,3
cg03507241,TUBB6,0.3775,TSS1500,3
cg10126205,TWIST1,0.360683,TSS1500,3
cg25612480,UBE2V2,-0.328642,TSS1500,3
cg04021697,WDR8,0.473909,TSS1500,3
cg24114556,WNT3,0.388073,TSS1500,3
cg17501395,ZC3H12D,-0.309432,TSS200,3
cg23424043,ZC3HAV1,-0.330965,TSS1500,3
cg00663077,ZFP42,0.319834,TSS1500,1
cg01046104,ZIK1,0.295336,TSS200,1
cg11618529,ZNF132,0.304858,TSS1500,1
cg06454760,ZNF135,0.349622,TSS200,1
cg08668790,ZNF154,0.436971,TSS200,1
cg13703871,ZNF177,0.38515,TSS200,1
cg06433694,ZNF285A,0.302162,TSS200,1
cg15060012,ZNF418,0.294856,TSS200,1
cg02165355,ZNF454,0.318113,TSS200,1
cg00674365,ZNF471,0.301626,TSS200,1
cg08271804,ZNF492,0.350685,TSS1500,1
cg05221167,ZNF560,0.370097,TSS200,1
cg23968383,ZNF572,-0.299353,TSS1500,1
cg16731240,ZNF577,0.484704,TSS200,1
cg03289872,ZNF667,0.319216,TSS1500,1
cg19926444,ZNF709,0.314497,TSS200,1
cg14587524,ZNF781,0.393571,TSS200,1
cg24368848,ZSCAN1,0.38122,TSS1500,1
cg14231297,ZSCAN18,0.379353,TSS200,1
